IG Name,NGTL and/or TMX group,Location,Latitude,Longitude,Watershed Region (comm base),Email,Tag,Project Categories,Information
Indigenous Group 1,TMX only,"PO BOX 588, CHASE, BC, V0E 1M0",50.83002770290002,-119.7019354,Thompson - Fraser Canyon,ig1@testemail.com,Air,Air,Air quality monitoring
Indigenous Group 2,TMX and NGTL,"PO BOX 3419, MORINVILLE, AB, T8R 1S3",53.80207637917334,-113.650435,N. and S. Sask,ig2@testemail.com,Water,Water,Water quality monitoring
Indigenous Group 3,TMX and NGTL,"PO BOX 7, GLENEVIS, AB, T0E 0X0",53.73678624438386,-114.4923184,N. and S. Sask,ig3@testemail.com,Climate,"Climate, Air",Focus on forestry and wildfire
Indigenous Group 3,TMX and NGTL,"PO BOX 7, GLENEVIS, AB, T0E 0X0",53.73678624438386,-114.4923184,N. and S. Sask,ig3@testemail.com,Air,"Climate, Air",Focus on forestry and wildfire
Indigenous Group 4,TMX and NGTL,"10022 99 St, Grande Cache, AB, T0E 0Y0",53.89080152818586,-119.1137398,Athabasca - Peace,ig4@testemail.com,Biodiversity,Biodiversity,Salmon stock
Indigenous Group 5,TMX only,"PO BOX 440, ASHCROFT, BC, V0K 1A0",50.728486190944444,-121.2798511,Thompson - Fraser Canyon,ig5@testemail.com,Land,"Land, Biodiversity","Mapping of land use (e.g., urbanization, industries, etc.)"
Indigenous Group 5,TMX only,"PO BOX 440, ASHCROFT, BC, V0K 1A0",50.728486190944444,-121.2798511,Thompson - Fraser Canyon,ig5@testemail.com,Biodiversity,"Land, Biodiversity","Mapping of land use (e.g., urbanization, industries, etc.)"
Indigenous Group 6,TMX only,"3665 Kingsway Suite 390, Vancouver, BC, V5R 5W2",49.23279025247422,-123.0241622,Lower Fraser - S. Coast,ig6@testemail.com,Economy and industry,Economy and industry,Impacts of urbanization
Indigenous Group 7,NGTL only,"PO BOX 60, STANDOFF, AB, T0L 1Y0",49.46329159318499,-113.301274,N. and S. Sask,ig7@testemail.com,Health,Health,Focus on medicinal plants. Baseline studies to confirm existence of wildlife and plants in area
Indigenous Group 8,TMX only,"PO BOX 369, BOSTON BAR, BC, V0K 1C0",49.83502126028579,-121.4328298,Thompson - Fraser Canyon,ig8@testemail.com,Biodiversity,"Biodiversity, Economy and industry, Society and Culture",Salmon stock
Indigenous Group 8,TMX only,"PO BOX 369, BOSTON BAR, BC, V0K 1C0",49.83502126028579,-121.4328298,Thompson - Fraser Canyon,ig8@testemail.com,Economy and industry,"Biodiversity, Economy and industry, Society and Culture",Salmon stock
